Sample Name,Corbet #5-6 House
Moisture,15.5
Tons/Day,24.0
co2PerDay,64.27429664143226
copper,lbs/ton: 0.17238,asReceived%: 0.008619,lbs/yr: 1510.0488,dryBasis%: 0.0102,lbs/day: 4.13712
iron,lbs/ton: 10.376600000000002,asReceived%: 0.51883,lbs/yr: 90899.016,dryBasis%: 0.614,lbs/day: 249.03840000000002
boron,lbs/ton: 0.04900999999999999,asReceived%: 0.0024504999999999996,lbs/yr: 429.3275999999999,dryBasis%: 0.0029,lbs/day: 1.1762399999999997
aluminum,lbs/ton: 3.0589,asReceived%: 0.152945,lbs/yr: 26795.964,dryBasis%: 0.181,lbs/day: 73.4136
calcium,lbs/ton: 102.07599999999998,asReceived%: 5.1038,lbs/yr: 894185.7599999999,dryBasis%: 6.04,lbs/day: 2449.8239999999996
total kjeldahl nitrogen,lbs/dayNO2: 549.67706976,lbs/ton: 16.7986,tons/yrCO2: 29894.1874388976,dryBasis%: 0.994,lbs/dayCO2: 163803.76678848,asReceived%: 0.83993,lbs/yr: 147155.736,lbs/day: 403.1664
sulfur,lbs/ton: 3.4813999999999994,asReceived%: 0.17406999999999997,lbs/yr: 30497.063999999995,dryBasis%: 0.206,lbs/day: 83.55359999999999
ammonia n,lbs/dayNO2: 88.47920639999998,lbs/ton: 2.7039999999999997,tons/yrCO2: 4811.941640063999,dryBasis%: 0.16,lbs/dayCO2: 26366.803507199995,asReceived%: 0.1352,lbs/yr: 23687.039999999994,lbs/day: 64.89599999999999
magnesium,lbs/ton: 6.2868,asReceived%: 0.31434,lbs/yr: 55072.36800000001,dryBasis%: 0.372,lbs/day: 150.88320000000002
zinc,lbs/ton: 3.1603,asReceived%: 0.158015,lbs/yr: 27684.228,dryBasis%: 0.187,lbs/day: 75.8472
phosphorus,lbs/ton: 75.1258404,asReceived%: 1.6393,lbs/yr: 658102.3619039999,dryBasis%: 1.94,lbs/day: 1803.0201696
manganese,lbs/ton: 0.50024,asReceived%: 0.025012,lbs/yr: 4382.1024,dryBasis%: 0.0296,lbs/day: 12.00576
potassium,lbs/ton: 3.2368806599999993,asReceived%: 0.134355,lbs/yr: 28355.074581599994,dryBasis%: 0.159,lbs/day: 77.68513583999999
sodium,lbs/ton: 1.20666,asReceived%: 0.060333000000000005,lbs/yr: 10570.3416,dryBasis%: 0.0714,lbs/day: 28.95984
