Sample Name,Corbet #5-6 Lagoon
Moisture,35.2
Tons/Day,24.0
co2PerDay,56.18997303460843
copper,lbs/ton: 0.006933599999999999,asReceived%: 0.0003466799999999999,lbs/yr: 60.738336,dryBasis%: 0.000535,lbs/day: 0.16640639999999998
iron,lbs/ton: 1.038096,asReceived%: 0.051904799999999994,lbs/yr: 9093.720959999999,dryBasis%: 0.0801,lbs/day: 24.914303999999998
boron,lbs/ton: 0.04924799999999999,asReceived%: 0.0024623999999999996,lbs/yr: 431.41247999999996,dryBasis%: 0.0038,lbs/day: 1.181952
aluminum,lbs/ton: 7.037279999999999,asReceived%: 0.35186399999999995,lbs/yr: 61646.572799999994,dryBasis%: 0.543,lbs/day: 168.89471999999998
calcium,lbs/ton: 1.5811199999999996,asReceived%: 0.07905599999999999,lbs/yr: 13850.611199999998,dryBasis%: 0.122,lbs/day: 37.94687999999999
total kjeldahl nitrogen,lbs/dayNO2: 39.01461811199999,lbs/ton: 1.1923199999999996,tons/yrCO2: 2121.810006021119,dryBasis%: 0.092,lbs/dayCO2: 11626.356197375995,asReceived%: 0.05961599999999999,lbs/yr: 10444.723199999997,lbs/day: 28.61567999999999
sulfur,lbs/ton: 0.162,asReceived%: 0.0081,lbs/yr: 1419.12,dryBasis%: 0.0125,lbs/day: 3.888
ammonia n,lbs/dayNO2: 29.68503552,lbs/ton: 0.9072,tons/yrCO2: 1614.4206567551998,dryBasis%: 0.07,lbs/dayCO2: 8846.14058496,asReceived%: 0.04536,lbs/yr: 7947.072,lbs/day: 21.7728
magnesium,lbs/ton: 0.5235839999999999,asReceived%: 0.026179199999999996,lbs/yr: 4586.595839999999,dryBasis%: 0.0404,lbs/day: 12.566015999999998
zinc,lbs/ton: 0.0162,asReceived%: 0.00081,lbs/yr: 141.912,dryBasis%: 0.00125,lbs/day: 0.3888
phosphorus,lbs/ton: 4.00903344,asReceived%: 0.08747999999999999,lbs/yr: 35119.1329344,dryBasis%: 0.135,lbs/day: 96.21680255999999
manganese,lbs/ton: 0.009071999999999998,asReceived%: 0.0004535999999999999,lbs/yr: 79.47071999999999,dryBasis%: 0.0007,lbs/day: 0.21772799999999998
potassium,lbs/ton: 1.0600287263999997,asReceived%: 0.043999199999999995,lbs/yr: 9285.851643263997,dryBasis%: 0.0679,lbs/day: 25.440689433599992
sodium,lbs/ton: 0.5002559999999999,asReceived%: 0.025012799999999998,lbs/yr: 4382.24256,dryBasis%: 0.0386,lbs/day: 12.006143999999999
